Designator,Mid X,Mid Y,Rotation,Layer
C1,76.22,29.21,0.0,top
C2,64.77,81.26,270.0,top
C3,8.89,22.84,270.0,top
C4,21.57,70.358,180.0,top
C5,14.045,76.835,180.0,top
C7,15.24,85.07,90.0,top
D1,39.37,82.55,180.0,top
D2,41.91,89.535,0.0,top
D3,3.81,18.17,0.0,top
D4,3.81,12.7,0.0,top
D5,39.37,80.01,180.0,top
J3,93.98,48.26,0.0,top
J4,93.98,33.02,0.0,top
J5,54.61,88.265,90.0,top
J6,30.69675,96.834,0.0,top
J8,30.48,86.36,270.0,top
R1,39.37,77.47,180.0,top
R2,2.54,31.75,90.0,top
R3,5.08,31.75,90.0,top
R4,72.39,15.24,90.0,top
SW1,5.37,52.8586,90.0,top
SW2,5.37,42.4954,90.0,top
U1,31.75,55.88,0.0,top
U2,31.75,54.61,0.0,top
U3,76.2,78.74,90.0,top
U4,76.2,33.02,0.0,top
U5,31.75,16.51,90.0,top
